,Açıklamalar,Tarih,E_<2,E_2-4,E_5-14,E_15-24,E_25-49,E_50-64,E_65-79,E_80+,K_<2,K_2-4,K_5-14,K_15-24,K_25-49,K_50-64,K_65-79,K_80+
1,Tablo3,29.06.2020,7,11,38,89,378,136,61,15,5,7,32,117,300,108,60,15
,"Cinsiyet ve Yaş Grubuna Göre Yeni COVID-19 Hasta Sayısı, Türkiye
",30.06.2020,4,6,29,96,358,131,48,12,1,6,28,114,278,113,59,19
2,Veri Girişi,01.07.2020,6,14,30,92,315,106,49,10,4,8,32,92,260,114,54,12
,Hatice Sena Manap,02.07.2020,6,7,35,89,318,108,49,10,5,8,24,90,262,110,53,13
3,Veri Kontrolü,03.07.2020,6,9,28,75,310,120,43,10,6,9,34,84,266,104,58,15
,Rümeysa Başar,04.07.2020,6,10,32,75,317,114,52,12,5,6,27,98,251,91,51,12
4,Koordinatör,05.07.2020,5,8,27,72,291,106,56,12,2,5,23,96,271,119,55,13
,Abdullah Uçar,06.07.2020,6,7,24,73,291,98,44,8,5,6,28,88,255,96,49,17
5,Kapsam,07.07.2020,5,6,27,72,271,98,40,10,3,5,26,77,238,86,39,11
,"Bu veri seti, Sağlık Bakanlığı günlük raporlarında sunulan verileri içermektedir. ",08.07.2020,4,5,22,76,284,95,43,13,4,5,28,89,239,98,44,15
6,Kaynak,09.07.2020,4,7,24,70,277,95,35,10,6,5,26,76,237,97,50,11
,Sağlık Bakanlığı Günlük Raporları,10.07.2020,5,7,26,71,262,83,51,9,5,6,29,77,225,92,45,12
7,Notlar,11.07.2020,6,7,25,66,276,80,36,7,3,6,27,84,229,86,43,11
,"29 Temmuz 2020 tarihinden itibaren Sağlık Bakanlığı tarafından yayınlanan turkuvaz tabloda ""vaka"" ifadeleri ""hasta"" ifadesi ile değiştirilmiştir. ",12.07.2020,4,6,23,69,266,89,38,12,4,6,18,84,223,83,48,9
,"30 Eylül 2020 Sağlık Bakanlığı açıklamasında, “vaka sayısı” ifadesinin sadece semptomatik vakaları, yani “hasta sayısı”nı ifade ettiği, asemptomatik vakaları kapsamadığı ifade edilmiştir. Bu tanıma istinaden 2 Ekim 2020 itibariyle TURCOVID19 içeriklerinde Türkiye verilerine yönelik “vaka” ifadesi “hasta” ifadesi ile değiştirilmiştir.",13.07.2020,5,5,20,74,301,100,38,6,3,4,19,73,224,89,42,10
8,Sorumluluk Reddi,14.07.2020,4,6,22,63,273,90,38,8,4,4,21,72,230,89,45,12
,Veri setindeki olası hataların / eksikliklerin kontrol sorumluluğu kullanıcılara aittir.,15.07.2020,2,6,19,68,253,83,38,8,4,7,22,69,220,92,49,10
,TURCOVID19 veri setinin kullanımından kaynaklanabilecek her türlü maddi ve manevi zararların sorumluluğunu reddeler.,16.07.2020,5,6,26,60,237,80,35,7,5,6,23,77,215,80,46,11
9,TURCOVID19 Hakkında,17.07.2020,3,4,20,65,243,86,30,8,3,5,19,78,215,88,46,12
,https://turcovid19.com/hakkimizda/,18.07.2020,4,8,20,63,244,89,33,7,2,5,21,72,205,92,43,13
10,Geri Bildirim,19.07.2020,3,7,23,63,246,86,41,6,3,6,22,66,200,90,45,13
,https://turcovid19.com/iletisim/,20.07.2020,4,6,22,63,257,91,37,8,2,4,19,68,215,83,46,10
11,"Kullanım Hakları, Lisans ve Atıf",21.07.2020,5,5,18,68,244,82,36,8,5,5,21,73,213,88,43,11
,Veri setinin kullanım hakları TURCOVID19'a aittir,22.07.2020,4,6,20,64,240,82,34,7,2,6,17,70,202,88,43,12
,"Bu veri seti,  CC BY-NC-ND 4.0 lisansı ile lisanslanmıştır. ",23.07.2020,4,5,19,59,231,80,42,9,3,4,19,74,217,88,48,12
,Atıf yapmak koşuluyla kullanım ve paylaşıma açıktır. ,24.07.2020,4,5,19,61,248,83,37,8,4,7,20,80,223,87,39,10
12,Atıf,25.07.2020,3,5,21,59,237,86,37,8,3,4,23,73,211,91,46,11
,"Akademik: Uçar, A , Arslan, Ş , Manap, H , Gürkan, T , Çalışkan, M , Dayıoğlu, A , Efe, H , Yılmaz, M , İbrahi̇moğlu, A , Gülteki̇n, E , Durna, R , Başar, R , Osmanoğlu, F , Ören, S . (2020). Türkiye’de Covid-19 Pandemisinin Monitörizasyonu Için Interaktif Ve Gerçek Zamanlı Bir Web Uygulaması: TURCOVID19 . Anatolian Clinic the Journal of Medical Sciences , 25 (Special Issue on COVID 19) , 154-155 . DOI: 10.21673/anadoluklin.726347",26.07.2020,4,6,18,58,239,85,39,9,5,6,25,78,212,86,43,12
,"Web: <div>Kaynak: <a title=""TURCOVID19"" href=""https://turcovid19.com"">turcovid19.com</a></div>",27.07.2020,3,6,17,63,246,89,41,7,2,4,18,66,216,89,41,12
,Basılı görseller: turcovid19.com,28.07.2020,3,5,16,63,258,87,40,10,3,5,17,80,225,89,49,11
,Video: turcovid19.com,29.07.2020,4,6,20,58,242,84,41,8,4,5,18,73,227,93,47,10
,,30.07.2020,3,5,20,58,249,92,36,9,4,6,19,80,233,92,49,13
,,31.07.2020,4,6,27,59,246,86,41,8,4,5,21,81,237,93,50,13
,,01.08.2020,3,7,20,67,239,98,46,9,3,6,19,79,236,100,52,13
,,02.08.2020,4,4,23,59,242,94,49,9,2,4,18,78,234,101,50,15
,,03.08.2020,4,6,23,59,238,96,47,10,3,5,23,78,241,99,50,11
,,04.08.2020,4,7,25,77,271,100,47,8,4,7,25,84,254,106,50,13
,,05.08.2020,3,8,22,97,307,106,50,12,5,5,28,88,269,102,62,15
,,06.08.2020,5,7,24,85,278,103,48,10,3,6,29,90,280,110,60,16
,,07.08.2020,4,6,25,82,285,107,52,10,5,7,27,87,290,118,65,14
,,08.08.2020,5,7,23,76,280,109,53,14,5,6,26,89,281,123,62,15
,,09.08.2020,5,6,28,76,279,105,53,9,3,5,27,90,292,123,65,16
,,10.08.2020,5,6,25,72,298,104,48,12,4,6,25,96,296,116,65,14
,,11.08.2020,4,7,23,76,299,103,54,10,4,4,18,93,292,117,63,16
,,12.08.2020,5,4,24,78,295,109,55,12,4,5,23,96,291,127,66,17
,,13.08.2020,4,5,26,82,303,115,58,15,4,5,21,92,306,121,68,18
,,14.08.2020,5,6,25,69,293,113,57,13,4,6,24,98,293,130,73,18
,,15.08.2020,3,5,26,77,295,119,59,14,3,5,21,96,302,141,77,14
,,16.08.2020,3,6,22,74,288,107,57,14,4,4,23,93,284,125,72,16
,,17.08.2020,4,6,19,77,307,118,60,12,3,4,19,95,301,125,67,16
,,18.08.2020,3,5,22,77,313,121,64,12,3,4,21,94,302,131,74,16
,,19.08.2020,3,7,22,84,325,119,67,14,3,4,19,103,304,133,76,19
,,20.08.2020,5,5,25,87,359,132,68,14,4,5,27,110,334,143,74,21
,,21.08.2020,4,4,23,74,294,114,61,14,3,5,20,86,289,131,65,17
,,22.08.2020,5,7,24,86,332,116,58,14,4,4,26,100,313,135,71,15
,,23.08.2020,4,4,21,79,307,120,56,11,2,3,19,91,292,130,62,15
,,24.08.2020,3,5,26,88,376,135,69,14,3,5,25,108,356,138,75,17
,,25.08.2020,4,6,28,98,397,142,67,17,2,3,26,112,348,150,81,22
,,26.08.2020,3,4,22,87,340,124,60,13,4,4,20,96,318,130,67,20
,,27.08.2020,4,5,26,96,374,143,69,16,3,5,24,112,364,153,76,22
,,28.08.2020,4,6,23,92,381,153,69,17,3,4,26,118,373,152,77,18
,,29.08.2020,5,5,28,105,385,147,75,13,4,5,27,117,369,161,81,21
,,30.08.2020,3,5,26,95,384,140,67,13,4,4,24,114,356,159,70,19
,,31.08.2020,5,5,22,102,415,157,67,15,4,5,27,121,379,158,84,20
,,01.09.2020,4,7,24,112,425,153,75,14,3,7,25,111,369,149,76,18
,,02.09.2020,3,5,28,115,415,150,69,16,3,5,27,124,376,157,84,20
,,03.09.2020,4,6,26,110,428,150,75,15,3,6,27,129,390,167,84,21
,,04.09.2020,4,5,27,104,418,153,71,15,4,5,25,127,391,167,76,20
,,05.09.2020,6,6,27,111,415,161,78,15,6,4,27,125,410,174,88,21
,,06.09.2020,5,5,23,104,394,148,72,13,3,4,26,122,386,169,83,20
,,07.09.2020,4,6,26,107,449,167,75,16,4,5,23,130,421,164,85,22
,,08.09.2020,4,5,24,115,466,172,79,14,4,5,26,133,431,176,85,23
