,Aciklamalar,İl,Toplam 1. Doz,Toplam 2. Doz,Tarih,Günlük 1. Doz,Günlük 2.Doz
0,Son Güncelleme,Adana,32.871,0,25.01.2021 23:11:14,,
,26 Haziran 2021 Cumartesi 23:46:54,Adıyaman,8.271,0,25.01.2021 23:11:15,,
1,Veri Seti,Afyon,11.394,0,25.01.2021 23:11:16,,
,Türkiye İl Düzeyi Günlük COVID19 Aşı Verileri ,Ağrı,3.378,0,25.01.2021 23:11:17,,
2,Kapsam,Aksaray,4.962,0,25.01.2021 23:11:59,,
,"Bu veri seti, Sağlık Bakanlığı tarafından gerçek zamanlı yayınlanan COVID19 aşısı verilerinin günlük olarak kayıt altına alınmasıyla hesaplanan günlük aşı sayılarını içermektedir. ",Amasya,7.059,0,25.01.2021 23:11:18,,
3,Kaynak,Ankara,129.705,0,25.01.2021 23:11:19,,
,Veri setindeki bilgilerin ham verileri Sağlık Bakanlığı COVID19 Aşı Bilgilendirme Platformu web sitesinden temin edilmektedir. ,Antalya,43.872,0,25.01.2021 23:11:19,,
4,Notlar,Ardahan,1.456,0,25.01.2021 23:12:04,,
,"Günlük sayılar, t. günün son saatlerindeki kayıtlarla (t-1). günün son saatlerindeki kayıtlar arasındaki farkı ifade etmektedir. Örneğin, 24 Haziran 2021'de Tokat'ta yapılan toplam 1. doz sayısı saat 23.46'da 241.284'tür. Bir önceki gün (23 Haziran) saat 23.46'da toplam 1. doz sayısı 236.264'tür. Aradaki fark (5.020), Tokat'ta 24 Haziran günü yapılan 1. doz aşı sayısıdır. İkinci dozlar da aynı şekilde hesaplanmaktadır. ",Artvin,3.205,0,25.01.2021 23:11:20,,
,Farklı tarihlerde günün son kaydedilen saati ve dakikası altyapı sorunları sebebiyle farklılaşabilmektedir. Ancak günün son saatlerinde aşılama sayıları sıfıra yakınsadığı için farklılıktan kaynaklanan hatalar ihmal edilebilir düzeydedir. ,Aydın,19.102,0,25.01.2021 23:11:20,,
,"Veri setinde ""N/A"" veya ""ERROR"" şeklinde hatalar oluşabilmektedir. Böyle hatalar periyodik olarak kontrol edilip giderilmekte, günün son saatlerinde meydana gelen hatalı veri olursa bir önceki saatte alınan veri kullanılmaktadır.",Balıkesir,21.141,0,25.01.2021 23:11:21,,
,Veri seti .xls ve .csv olarak yayınlanmakta olup google alt yapısından kaynaklı olarak veri güncellemesi gecikebilmektedir. ,Bartın,2.721,0,25.01.2021 23:12:03,,
,"Veri seti günlük olarak güncellenecektir. Aşılama devam ettiği sürece veri setindeki son güne ait veriler günlük sayıyı değil, kayıt yapılan andaki sayıyı ifade eder. Gün tamamlandığında ve saat 00.00'ı geçtiğinde ilgili günün günlük aşı sayıları hesaplanmaktadır. ",Batman,6.999,0,25.01.2021 23:12:02,,
5,Sorumluluk Reddi,Bayburt,1.192,0,25.01.2021 23:12:00,,
,Veri setindeki olası hataların / eksikliklerin kontrol sorumluluğu kullanıcılara aittir.,Bilecik,3.842,0,25.01.2021 23:11:22,,
,"TURCOVID19, veri setinin kullanımından kaynaklanabilecek her türlü maddi ve manevi zararların sorumluluğunu reddeder.",Bingöl,2.881,0,25.01.2021 23:11:22,,
6,TURCOVID19 Aşı Sayfası için:,Bitlis,3.761,0,25.01.2021 23:11:23,,
,https://bit.ly/3iHuNzG,Bolu,8.350,0,25.01.2021 23:11:24,,
7,Hata Bildirimi için:,Burdur,5.880,0,25.01.2021 23:11:24,,
,https://turcovid19.com/iletisim/,Bursa,41.924,0,25.01.2021 23:11:25,,
8,"Kullanım Hakları, Lisans ve Atıf",Çanakkale,10.859,0,25.01.2021 23:11:26,,
,Veri setinin yayın hakları TURCOVID19'a aittir.,Çankırı,3.874,0,25.01.2021 23:11:26,,
